,Chequings_Amount,Duration_Months,Credit_History,Purpose_Of_Loan,Loan_Amount,Savings_Amount,Employment_Status,Installment_Rate,Personal_Status_Sex,Other_Debtor_Guarantor,Resident_Since,Property_Type,Age,Other_Installments,Housing_Payment_Type,Number_Of_Loans,Job,Number_Of_Dependents,Own_Telephone,Foreign_Worker,Credit_Risk
915,0-200,48,no credits taken or all credits paid back duly,others,18424,less than 100,1-4 years,1,female-divorced_married_or_single,none,2,life insurance,32,bank,own,1,management or self-employed or officer,1,"yes, registered under the customer name",no,2
916,no checking account,10,existing credits paid back duly till now,used car,2848,100-500,1-4 years,1,male-single,co-applicant,2,real estate,32,none,own,1,skilled employee,2,none,yes,1
917,less than 0,6,existing credits paid back duly till now,new car,14896,less than 100,greater than 7 years,1,male-single,none,4,unknown,68,bank,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
918,less than 0,24,existing credits paid back duly till now,furniture,2359,100-500,unemployed,1,male-divorced,none,1,life insurance,33,none,own,1,skilled employee,1,none,yes,2
919,less than 0,24,existing credits paid back duly till now,furniture,3345,less than 100,greater than 7 years,4,male-single,none,2,life insurance,39,none,rent,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
920,no checking account,18,critical account or other credits existing not at this bank,furniture,1817,less than 100,1-4 years,4,female-divorced_married_or_single,none,2,unknown,28,none,own,2,skilled employee,1,none,yes,1
921,no checking account,48,delay in paying off in the past,television,12749,500-1000,4-7 years,4,male-single,none,1,car or other,37,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
922,less than 0,9,existing credits paid back duly till now,television,1366,less than 100,less than 1 year,3,female-divorced_married_or_single,none,4,life insurance,22,none,rent,1,skilled employee,1,none,yes,2
923,0-200,12,existing credits paid back duly till now,new car,2002,less than 100,4-7 years,3,male-single,none,4,life insurance,30,none,rent,1,skilled employee,2,"yes, registered under the customer name",yes,1
924,less than 0,24,all credits at this bank paid back duly,furniture,6872,less than 100,less than 1 year,2,male-divorced,none,1,life insurance,55,bank,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
925,less than 0,12,all credits at this bank paid back duly,new car,697,less than 100,less than 1 year,4,male-single,none,2,car or other,46,bank,own,2,skilled employee,1,"yes, registered under the customer name",yes,2
926,less than 0,18,critical account or other credits existing not at this bank,furniture,1049,less than 100,less than 1 year,4,female-divorced_married_or_single,none,4,life insurance,21,none,rent,1,skilled employee,1,none,yes,1
927,less than 0,48,existing credits paid back duly till now,used car,10297,less than 100,4-7 years,4,male-single,none,4,unknown,39,stores,for free,3,skilled employee,2,"yes, registered under the customer name",yes,2
928,no checking account,30,existing credits paid back duly till now,television,1867,unknown or no savings account,greater than 7 years,4,male-single,none,4,car or other,58,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
929,less than 0,12,delay in paying off in the past,new car,1344,less than 100,1-4 years,4,male-single,none,2,real estate,43,none,own,2,unskilled,2,none,yes,1
930,less than 0,24,existing credits paid back duly till now,furniture,1747,less than 100,less than 1 year,4,male-single,co-applicant,1,life insurance,24,none,own,1,unskilled,1,none,no,1
931,0-200,9,existing credits paid back duly till now,television,1670,less than 100,less than 1 year,4,female-divorced_married_or_single,none,2,car or other,22,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
932,no checking account,9,critical account or other credits existing not at this bank,new car,1224,less than 100,1-4 years,3,male-single,none,1,real estate,30,none,own,2,skilled employee,1,none,yes,1
933,no checking account,12,critical account or other credits existing not at this bank,television,522,500-1000,greater than 7 years,4,male-single,none,4,life insurance,42,none,own,2,skilled employee,2,"yes, registered under the customer name",yes,1
934,less than 0,12,existing credits paid back duly till now,television,1498,less than 100,1-4 years,4,female-divorced_married_or_single,none,1,car or other,23,bank,own,1,skilled employee,1,none,yes,1
935,0-200,30,delay in paying off in the past,television,1919,100-500,less than 1 year,4,male-single,none,3,unknown,30,stores,own,2,management or self-employed or officer,1,none,yes,2
936,greater than $200,9,existing credits paid back duly till now,television,745,less than 100,1-4 years,3,female-divorced_married_or_single,none,2,real estate,28,none,own,1,unskilled,1,none,yes,2
937,0-200,6,existing credits paid back duly till now,television,2063,less than 100,less than 1 year,4,male-married_widowed,none,3,car or other,30,none,rent,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
938,0-200,60,existing credits paid back duly till now,education,6288,less than 100,1-4 years,4,male-single,none,4,unknown,42,none,for free,1,skilled employee,1,none,yes,2
939,no checking account,24,critical account or other credits existing not at this bank,used car,6842,unknown or no savings account,1-4 years,2,male-single,none,4,life insurance,46,none,own,2,management or self-employed or officer,2,"yes, registered under the customer name",yes,1
940,no checking account,12,existing credits paid back duly till now,new car,3527,unknown or no savings account,less than 1 year,2,male-single,none,3,life insurance,45,none,own,1,management or self-employed or officer,2,"yes, registered under the customer name",yes,1
941,no checking account,10,existing credits paid back duly till now,new car,1546,less than 100,1-4 years,3,male-single,none,2,real estate,31,none,own,1,unskilled,2,none,no,1
942,no checking account,24,existing credits paid back duly till now,furniture,929,unknown or no savings account,4-7 years,4,male-single,none,2,car or other,31,stores,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
943,no checking account,4,critical account or other credits existing not at this bank,new car,1455,less than 100,4-7 years,2,male-single,none,1,real estate,42,none,own,3,unskilled,2,none,yes,1
944,less than 0,15,existing credits paid back duly till now,furniture,1845,less than 100,less than 1 year,4,female-divorced_married_or_single,guarantor,1,life insurance,46,none,rent,1,skilled employee,1,none,yes,1
945,0-200,48,no credits taken or all credits paid back duly,new car,8358,500-1000,less than 1 year,1,female-divorced_married_or_single,none,1,car or other,30,none,own,2,skilled employee,1,none,yes,1
946,less than 0,24,all credits at this bank paid back duly,furniture,3349,500-1000,less than 1 year,4,male-single,none,4,unknown,30,none,for free,1,skilled employee,2,"yes, registered under the customer name",yes,2
947,no checking account,12,existing credits paid back duly till now,new car,2859,unknown or no savings account,unemployed,4,male-single,none,4,unknown,38,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
948,no checking account,18,existing credits paid back duly till now,furniture,1533,less than 100,less than 1 year,4,male-married_widowed,co-applicant,1,life insurance,43,none,own,1,unskilled,2,none,yes,2
949,no checking account,24,existing credits paid back duly till now,television,3621,100-500,greater than 7 years,2,male-single,none,4,car or other,31,none,own,2,skilled employee,1,none,yes,2
950,0-200,18,critical account or other credits existing not at this bank,business,3590,less than 100,unemployed,3,male-married_widowed,none,3,car or other,40,none,own,3,unemployed,2,"yes, registered under the customer name",yes,1
951,less than 0,36,delay in paying off in the past,business,2145,less than 100,4-7 years,2,male-single,none,1,car or other,24,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,2
952,0-200,24,existing credits paid back duly till now,used car,4113,500-1000,less than 1 year,3,female-divorced_married_or_single,none,4,car or other,28,none,rent,1,skilled employee,1,none,yes,2
953,no checking account,36,existing credits paid back duly till now,furniture,10974,less than 100,unemployed,4,female-divorced_married_or_single,none,2,car or other,26,none,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
954,less than 0,12,existing credits paid back duly till now,new car,1893,less than 100,1-4 years,4,female-divorced_married_or_single,guarantor,4,life insurance,29,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
955,less than 0,24,critical account or other credits existing not at this bank,television,1231,greater than 1000,greater than 7 years,4,female-divorced_married_or_single,none,4,life insurance,57,none,rent,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
956,greater than $200,30,critical account or other credits existing not at this bank,television,3656,unknown or no savings account,greater than 7 years,4,male-single,none,4,life insurance,49,stores,own,2,unskilled,1,none,yes,1
957,0-200,9,critical account or other credits existing not at this bank,television,1154,less than 100,greater than 7 years,2,male-single,none,4,real estate,37,none,own,3,unskilled,1,none,yes,1
958,less than 0,28,existing credits paid back duly till now,new car,4006,less than 100,1-4 years,3,male-single,none,2,car or other,45,none,own,1,unskilled,1,none,yes,2
